home_score,away_score,home_team,away_team,date,win_score,lost_score
0,58,Haverford,Penn State,1891-12-05T00:00:00.000Z,58,0
14,10,Northwestern,Lake View High,1892-09-30T00:00:00.000Z,14,10
58,0,Cornell,Syracuse,1892-10-01T00:00:00.000Z,58,0
16,0,Northwestern,Chicago YMCA,1892-10-01T00:00:00.000Z,16,0
20,0,Pennsylvania,Penn State,1892-10-01T00:00:00.000Z,20,0
30,0,Princeton,Rutgers,1892-10-01T00:00:00.000Z,30,0
0,6,UMass,Trinity (CT),1892-10-01T00:00:00.000Z,6,0
32,4,Wisconsin,Beloit College,1892-10-01T00:00:00.000Z,32,4
10,28,Worcester Polytechnic,UMass,1892-10-08T00:00:00.000Z,28,10
74,0,Michigan,Michigan A.C.,1892-10-08T00:00:00.000Z,74,0
18,10,Minnesota,Minnesota Alumni,1892-10-08T00:00:00.000Z,18,10
22,10,Orange A.C.,Rutgers,1892-10-08T00:00:00.000Z,22,10
6,12,Illinois,Purdue,1892-10-08T00:00:00.000Z,12,6
10,0,University Club of Chicago,Northwestern,1892-10-08T00:00:00.000Z,10,0
6,6,Wesleyan (CT),Army,1892-10-08T00:00:00.000Z,6,6
0,32,Virginia,Pennsylvania,1892-10-11T00:00:00.000Z,32,0
58,10,Amherst College,UMass,1892-10-12T00:00:00.000Z,58,10
68,0,Michigan,Michigan A.C.,1892-10-12T00:00:00.000Z,68,0
16,16,Northwestern,Illinois,1892-10-12T00:00:00.000Z,16,16
0,16,Navy,Pennsylvania,1892-10-12T00:00:00.000Z,16,0
6,10,Wisconsin,Michigan,1892-10-15T00:00:00.000Z,10,6
10,10,Mount Hermon,UMass,1892-10-15T00:00:00.000Z,10,10
36,0,Northwestern,Beloit College,1892-10-15T00:00:00.000Z,36,0
0,28,Navy,Princeton,1892-10-15T00:00:00.000Z,28,0
0,72,Wabash College,Purdue,1892-10-15T00:00:00.000Z,72,0
8,16,Lafayette,Rutgers,1892-10-15T00:00:00.000Z,16,8
14,6,Minnesota,Michigan,1892-10-17T00:00:00.000Z,14,6
18,4,UMass,Worcester Polytechnic,1892-10-19T00:00:00.000Z,18,4
32,4,Purdue,Wisconsin,1892-10-19T00:00:00.000Z,32,4
0,22,Washington (MO),Illinois,1892-10-21T00:00:00.000Z,22,0
0,4,UMass,Amherst College,1892-10-22T00:00:00.000Z,4,0
42,0,Army,Stevens,1892-10-22T00:00:00.000Z,42,0
0,20,Doane,Illinois,1892-10-22T00:00:00.000Z,20,0
0,18,DePauw,Michigan,1892-10-22T00:00:00.000Z,18,0
40,24,Minnesota,Grinnell,1892-10-22T00:00:00.000Z,40,24
22,4,Navy,Lafayette,1892-10-22T00:00:00.000Z,22,4
0,0,Northwestern,Chicago,1892-10-22T00:00:00.000Z,0,0
0,18,New York A.C.,Rutgers,1892-10-22T00:00:00.000Z,18,0
10,6,Wisconsin,Lake Forest,1892-10-22T00:00:00.000Z,10,6
6,0,Nebraska,Illinois,1892-10-24T00:00:00.000Z,6,0
24,0,Purdue,Michigan,1892-10-24T00:00:00.000Z,24,0
10,26,Baker,Illinois,1892-10-26T00:00:00.000Z,26,10
12,22,Williston,UMass,1892-10-26T00:00:00.000Z,22,12
0,30,Manhattan A.C.,Rutgers,1892-10-26T00:00:00.000Z,30,0
26,4,Kansas,Illinois,1892-10-27T00:00:00.000Z,26,4
24,0,Army,Trinity (CT),1892-10-29T00:00:00.000Z,24,0
0,42,Kansas City A.C.,Illinois,1892-10-29T00:00:00.000Z,42,0
10,24,Rutgers,Lafayette,1892-10-29T00:00:00.000Z,24,10
62,0,UMass,Boston University,1892-10-29T00:00:00.000Z,62,0
4,32,Wisconsin,Minnesota,1892-10-29T00:00:00.000Z,32,4
24,0,Navy,Franklin & Marshall,1892-10-29T00:00:00.000Z,24,0
10,8,Northwestern,Michigan,1892-10-29T00:00:00.000Z,10,8
40,6,Purdue,Butler,1892-10-29T00:00:00.000Z,40,6
6,4,Northwestern,Chicago,1892-11-02T00:00:00.000Z,6,4
22,6,Stevens,Rutgers,1892-11-02T00:00:00.000Z,22,6
