home_score,away_score,home_team,away_team,date,win_score,lost_score
18,5,Wesleyan (CT),UMass,1897-10-16T00:00:00.000Z,18,5
21,6,Chicago,Northwestern,1897-10-23T00:00:00.000Z,21,6
29,0,Wisconsin,Madison High,1897-10-23T00:00:00.000Z,29,0
45,0,Cornell,Penn State,1897-10-30T00:00:00.000Z,45,0
34,5,Chicago,Notre Dame,1897-11-06T00:00:00.000Z,34,5
27,4,Penn State,Bucknell,1897-11-13T00:00:00.000Z,27,4
8,23,Chicago,Wisconsin,1897-11-13T00:00:00.000Z,23,8
30,12,Purdue,Missouri,1897-11-13T00:00:00.000Z,30,12
6,23,Illinois,Carlisle,1897-11-20T00:00:00.000Z,23,6
47,0,Penn State,Gettysburg,1898-09-24T00:00:00.000Z,47,0
6,11,Illinois,Physicians & Surgeons,1898-10-01T00:00:00.000Z,11,6
57,0,Northwestern,Dixon,1898-10-01T00:00:00.000Z,57,0
21,0,Michigan,Eastern Michigan,1898-10-01T00:00:00.000Z,21,0
27,8,Army,Wesleyan (CT),1898-10-08T00:00:00.000Z,27,8
76,0,Wisconsin,Dixon,1898-10-08T00:00:00.000Z,76,0
17,11,Northwestern,Beloit College,1898-10-08T00:00:00.000Z,17,11
11,2,Northwestern,Physicians & Surgeons,1898-10-15T00:00:00.000Z,11,2
45,6,Penn State,Susquehanna,1898-10-15T00:00:00.000Z,45,6
16,11,Navy,Penn State,1898-10-22T00:00:00.000Z,16,11
15,0,Purdue,Haskell,1898-10-22T00:00:00.000Z,15,0
17,0,Wisconsin,Beloit College,1898-10-22T00:00:00.000Z,17,0
23,0,Michigan,Notre Dame,1898-10-23T00:00:00.000Z,23,0
23,17,Illinois Alumni,Illinois,1898-11-04T00:00:00.000Z,23,17
5,5,Princeton,Army,1898-11-05T00:00:00.000Z,5,5
12,11,Wisconsin,Wisconsin Alumni,1898-11-05T00:00:00.000Z,12,11
52,5,Navy,Columbia A.C.,1898-11-05T00:00:00.000Z,52,5
59,0,Wesleyan (CT),Rutgers,1898-11-12T00:00:00.000Z,59,0
17,6,Minnesota,Northwestern,1898-11-12T00:00:00.000Z,17,6
21,5,Navy,VMI,1898-11-24T00:00:00.000Z,21,5
